Car Name,Car Image,Car Link,Car Brand,Car Model,Car Color,Car KM,Seller Place,Date,Car Price
Ford EcoSport 2019,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6548588/medium_up_db6ccb6fe305893eab31cc0cbe3932db.jpg,https://eg.hatla2ee.com/en/car/en/car/ford/ecosport/6548588,Ford,EcoSport,"
Champagne ",141500.0,"
30,000 Km ",2024-07-19,785000.0
Nissan Qashqai 2016,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6549077/medium_up_5ec51120e5a66ffc103b61ccbd48dd27.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/qashqai/6549077,Nissan,Qashqai,"
Black ",209000.0,Pyramids Gardens,2024-07-19,680000.0
Byd F3 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/10/6563766/medium_up_24ed649d356b3119acf9b2edf08fb2d2.jpg,https://eg.hatla2ee.com/en/car/en/car/byd/f3/6563766,Byd,F3,"
Silver ",141500.0,"
1,200 Km ",2024-07-19,510000.0
Suzuki Baleno 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579404/medium_up_2b297d501a2b2b45d49f4a80576bf31c.jpg,https://eg.hatla2ee.com/en/car/en/car/suzuki/baleno/6579404,Suzuki,Baleno,"
Blue ",141500.0,"
3,000 Km ",2024-07-19,850000.0
BMW X5 2018,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579368/medium_up_abc5422ee1af2b8975d6266088f296b7.jpg,https://eg.hatla2ee.com/en/car/en/car/bmw/x5/6579368,BMW,X5,"
Gray ",141500.0,"
79,000 Km ",2024-07-19,3550000.0
Renault Sandero Step Way 2017,https://media.hatla2eestatic.com/uploads/car/2024/03/01/6318439/medium_up_ebafb3c3add1141f2ffd0c095040b0db.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/sandero-step-way/6318439,Renault,Sandero Step Way,"
Petroleum ",141500.0,"
90,000 Km ",2024-07-19,650000.0
Mercedes CLA 200 2024,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579561/medium_up_31e8fabfd895bb0623a3a284de2742eb.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/cla-200/6579561,Mercedes,CLA 200,"
White ",141500.0,Tagamo3 - New Cairo,2024-07-19,3150000.0
Chevrolet Aveo 2017,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579543/medium_up_9508bb56a8357fb8142ed76fba7e08c1.jpg,https://eg.hatla2ee.com/en/car/en/car/chevrolet/aveo/6579543,Chevrolet,Aveo,"
Gray ",141500.0,"
154,000 Km ",2024-07-19,380000.0
Brilliance FRV Cross 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579557/medium_up_ceb1c4131067aea964c7a6762f907f1a.jpg,https://eg.hatla2ee.com/en/car/en/car/brilliance/frv-cross/6579557,Brilliance,FRV Cross,"
Silver ",141500.0,Sohag,2024-07-19,430000.0
Toyota Corolla 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579540/medium_up_1d3e8399e1254c93edce6f78e41438e7.jpg,https://eg.hatla2ee.com/en/car/en/car/toyota/corolla/6579540,Toyota,Corolla,"
Silver ",141500.0,"
45,000 Km ",2024-07-19,1100000.0
Mitsubishi 304 2012,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579539/medium_up_943590ce6423680d42cae4de7963cae7.jpg,https://eg.hatla2ee.com/en/car/en/car/mitsubishi/304/6579539,Mitsubishi,304,"
Silver ",141500.0,Alexandria,2024-07-19,670000.0
Lada 2105 1995,https://media.hatla2eestatic.com/uploads/car/2024/07/18/6579221/medium_up_e27501a0da88c8a28a5c0f51fd40986d.jpg,https://eg.hatla2ee.com/en/car/en/car/lada/2105/6579221,Lada,2105,"
White ",200000.0,Agamy,2024-07-19,65000.0
Kia Spectra 2002,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6567494/medium_up_c3da992c364e738b9a5cd12cde4fcca1.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/spectra/6567494,Kia,Spectra,"
Silver ",200000.0,Banha,2024-07-18,340000.0
Chery Arrizo 5 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6567530/medium_up_8f79e35deb687bdccbc9cb311ed38ff1.jpg,https://eg.hatla2ee.com/en/car/en/car/chery/Arrizo-5/6567530,Chery,Arrizo 5,"
Green ",141500.0,"
80,000 Km ",2024-07-18,480000.0
Volkswagen Passat 2019,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6567495/medium_up_d918ecc15c03be828a12d73d71532d54.jpg,https://eg.hatla2ee.com/en/car/en/car/volks-wagen/passat/6567495,Volkswagen,Passat,"
Silver ",141500.0,"
165,000 Km ",2024-07-18,1250000.0
Hyundai Accent 1998,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579488/medium_up_d6e086c2c7dc4c0e044365d8e4efb112.jpg,https://eg.hatla2ee.com/en/car/en/car/hyundai/accent/6579488,Hyundai,Accent,"
Red ",250000.0,Mansoura,2024-07-19,185000.0
Mitsubishi Lancer Puma 2013,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579494/medium_up_9fa0ffe8f2d26f8dcb95030cd83df3fb.jpg,https://eg.hatla2ee.com/en/car/en/car/mitsubishi/Lancer-Puma/6579494,Mitsubishi,Lancer Puma,"
Blue ",180000.0,Cairo,2024-07-19,500000.0
Nissan Qashqai 2015,https://media.hatla2eestatic.com/images/car/make-320x229/nissan.png,https://eg.hatla2ee.com/en/car/en/car/nissan/qashqai/6579486,Nissan,Qashqai,"
Petroleum ",141500.0,Helwan,2024-07-19,650000.0
Nissan Armada 1990,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6566471/medium_up_7261bb671e29de1ca53f285f8024e43e.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/armada/6566471,Nissan,Armada,"
White ",141500.0,Dakahlia,2024-07-19,470000.0
Kia Carens 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579482/medium_up_ea05f4def10f6d3fc819aed447291d5a.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/carens/6579482,Kia,Carens,"
Petroleum ",141500.0,Ismailia,2024-07-19,830000.0
Renault Sandero Step Way 2018,https://media.hatla2eestatic.com/uploads/car/2024/07/18/6577526/medium_up_2dae0ac89991b9009ab4e9930bc65ffd.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/sandero-step-way/6577526,Renault,Sandero Step Way,"
Silver ",141500.0,"
91,000 Km ",2024-07-19,600000.0
Mitsubishi Lancer 2007,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579455/medium_up_9cacc3cb654be31527952372a1f82a29.jpg,https://eg.hatla2ee.com/en/car/en/car/mitsubishi/lancer/6579455,Mitsubishi,Lancer,"
Silver ",153000.0,Khanka,2024-07-19,470000.0
Suzuki Swift 2024,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579467/medium_up_0cea6da4bc1643df8e42a9fa30989609.jpg,https://eg.hatla2ee.com/en/car/en/car/suzuki/swift/6579467,Suzuki,Swift,"
Brown ",141500.0,"
- Km ",2024-07-19,740000.0
Kia Cerato 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579446/medium_up_7a7b1f7231ca075f11bebe6142893f3f.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/cerato/6579446,Kia,Cerato,"
Black ",93000.0,Pyramids Gardens,2024-07-19,690000.0
Nissan Sentra 2018,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579464/medium_up_cfe7b67cba8f990f872893a141e9c15b.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sentra/6579464,Nissan,Sentra,"
Dark grey ",141500.0,"
168,000 Km ",2024-07-19,575000.0
Nissan Sunny 2013,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579456/medium_up_ab0a235aae295c3dcc42490bf6291102.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sunny/6579456,Nissan,Sunny,"
Silver ",106000.0,Sohag,2024-07-19,670000.0
Suzuki Fronx 2024,https://media.hatla2eestatic.com/uploads/car/2024/07/03/6550841/medium_up_bf17805796101538fc9ee77f79b85df9.jpg,https://eg.hatla2ee.com/en/car/en/car/suzuki/Fronx/6550841,Suzuki,Fronx,"
Dark blue ",141500.0,"
0 Km ",2024-07-19,1550000.0
Skoda Octavia A8 2022,https://media.hatla2eestatic.com/uploads/car/2024/07/18/6578973/medium_up_651a2decc0fdcd90e24d9bbaf5388086.jpg,https://eg.hatla2ee.com/en/car/en/car/skoda/Octavia-A8/6578973,Skoda,Octavia A8,"
Dark grey ",141500.0,"
75,000 Km ",2024-07-19,2100000.0
Chrysler PT Cruiser 2006,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6567410/medium_up_76f977298a28b97a525753fea59c963b.jpg,https://eg.hatla2ee.com/en/car/en/car/chrysler/pt-cruiser/6567410,Chrysler,PT Cruiser,"
Silver ",228000.0,Port Said,2024-07-18,280000.0
Brilliance Galena 2007,https://media.hatla2eestatic.com/images/car/make-320x229/brilliance.png,https://eg.hatla2ee.com/en/car/en/car/brilliance/galena/6567425,Brilliance,Galena,"
Black ",141500.0,Gharbia,2024-07-18,670000.0
Toyota Avanza 2019,https://media.hatla2eestatic.com/uploads/car/2024/07/12/6567471/medium_up_1b77ae95105e3b38e2dae5fb25d7bb28.jpg,https://eg.hatla2ee.com/en/car/en/car/toyota/avanza/6567471,Toyota,Avanza,"
White ",141500.0,"
125,000 Km ",2024-07-18,890000.0
Renault Sandero Step Way 2016,https://media.hatla2eestatic.com/uploads/car/2024/07/03/6549807/medium_up_ae61d8c4d159391a2b7ad1ca77013e1e.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/sandero-step-way/6549807,Renault,Sandero Step Way,"
Dark red ",120000.0,Obour City,2024-07-19,560000.0
Chevrolet Optra 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579440/medium_up_509c5d042901776327d15dd7d67aab12.jpg,https://eg.hatla2ee.com/en/car/en/car/chevrolet/optra/6579440,Chevrolet,Optra,"
Silver ",141500.0,"
50,000 Km ",2024-07-19,580000.0
Hyundai Verna 2011,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579434/medium_up_bb091527b9926e89139fce8b79270fec.jpg,https://eg.hatla2ee.com/en/car/en/car/hyundai/verna/6579434,Hyundai,Verna,"
White ",300000.0,Giza,2024-07-19,220000.0
Renault Duster 2017,https://media.hatla2eestatic.com/uploads/car/2024/04/06/6390820/medium_up_27e65f5e53f2e6d48397a66c4030e3b0.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/duster/6390820,Renault,Duster,"
White ",141500.0,"
140,000 Km ",2024-07-19,625000.0
Hyundai Accent 2007,https://media.hatla2eestatic.com/images/car/make-320x229/hyundai.png,https://eg.hatla2ee.com/en/car/en/car/hyundai/accent/6579423,Hyundai,Accent,"
Silver ",230000.0,Mansoura,2024-07-19,385000.0
